courseName,universityName,facultyName,isItFullTime,description,startDate,fees,modality,duration,city,country,administration,url,description_lemmatized,courseName_lemmatized,universityName_lemmatized,city_lemmatized,fees_USD
﻿Electric Vehicle Systems MSc,Brunel University London,Civil Engineering,[],"Our Electric Vehicle Systems MSc degree has been designed to equip you with advanced knowledge of low-carbon electric vehicle systems and advanced battery technologies.You'll study in-depth the key areas of electronic and electrical engineering in relation to electric vehicle systems. These include power electronics and drives, vehicular communication systems, sustainable power systems, intelligent systems, and embedded systems which contributes to the design of electric vehicle charging infrastructure and converter topologies.",September,"UK £12,500 full-time  International £21,470 full-time",MSc,1 year full-time,London,United Kingdom,Full Time,https://www.findamasters.com/masters-degrees/course/electric-vehicle-systems-msc/?i28d8299c69601,electr vehicl system msc degre design equip advanc knowledg lowcarbon electr vehicl system advanc batteri technologiesyoul studi indepth key area electron electr engin relat electr vehicl system includ power electron drive vehicular commun system sustain power system intellig system embed system contribut design electr vehicl charg infrastructur convert topolog,﻿electr vehicl system msc,brunel univers london,london,17033.65
﻿Educational Management,Vytautas Magnus University,Masters Programmes,['Full Time'],"The study programme Educational Management responds to the demands of the contemporary educational systems and therefore is popular among the applicants. The study programme aims to prepare educational managers for different types of organisations involved in learning and teaching activities. The complexity of the programme learning outcomes leads our future graduates to the career of an educator, an educational manager, a human resources developer.Students will have a great opportunity to experience a blended learning method, which will develop their competence in technology enhanced and self-directed learning. ",September,,"MSc,MA",2 years,Kaunas,Lithuania,On Campus,https://www.findamasters.com/masters-degrees/course/educational-management/?i3104d8161c56550,studi programm educ manag respond demand contemporari educ system therefor popular among applic studi programm aim prepar educ manag differ type organis involv learn teach activ complex programm learn outcom lead futur graduat career educ educ manag human resourc developerstud great opportun experi blend learn method develop compet technolog enhanc selfdirect learn,﻿educ manag,vytauta magnu univers,kauna,
﻿Electrical and Electronic Engineering (MSc),Sheffield Hallam University,Postgraduate Courses,['Full Time'],"Gain the up-to-date knowledge and skills required of modern electrical and electronic engineers, with an emphasis on hands-on learning.Course summaryGain an understanding of the concepts and methods that are used in today's electrical and electronic systems.Acquire the skills necessary for their design, development and maintenance.Learn to use dedicated hardware to implement the concepts studied and to adapt these to real-world scenarios.The course is built around core technical modules in combination with project-based activities. This lays the foundation for a course of study that can be designed to meet specific needs, whether these are for a particular career or in academia.","September, January","Our tuition fee for UK students starting full-time study in 2023/24 is £9,910 for the course without a placement. Or £11,410 with a placement.  Please see the university website for further information on fees for this course.",MSc,1 year/16 months full time,Sheffield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/electrical-and-electronic-engineering-msc/?i219d2021c42727,gain uptod knowledg skill requir modern electr electron engin emphasi handson learningcours summarygain understand concept method use today electr electron systemsacquir skill necessari design develop maintenancelearn use dedic hardwar implement concept studi adapt realworld scenariosth cours built around core technic modul combin projectbas activ lay foundat cours studi design meet specif need whether particular career academia,﻿electr electron engin msc,sheffield hallam univers,sheffield,9052.35
﻿Electrical and Electronic Engineering (Work Experience) (MSc),Sheffield Hallam University,Postgraduate Courses,['Full Time'],Take a fast track to a career as a professional engineer – able to work at the highest level with new and emerging technologies.,"September, January","Our tuition fee for UK students starting full-time study in 2023/24 is £9,910 for the course without a placement or £11,410 with a placement.  Please see the university website for further information on fees for this course.",MSc,2 years full time,Sheffield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/electrical-and-electronic-engineering-work-experience-msc/?i219d2021c68043,take fast track career profession engin – abl work highest level new emerg technolog,﻿electr electron engin work experi msc,sheffield hallam univers,sheffield,9052.35
﻿Electrical Engineering and Renewable Energy Systems - MSc (Eng),University of Leeds,School of Electronic and Electrical Engineering,['Full Time'],"Renewable energy and reducing carbon emissions are top of the global environmental agenda. This Masters programme is designed to address the fundamentals of renewable energy, showing how solar, wind and other energy sources can work harmoniously and be efficiently integrated into practical power systems.You'll study core power engineering topics such as power converters, electric drives and control alongside modules specific to renewable energy sources and power system.",September,"UK: £13,500 (Total) International: £31,000 (Total)",MSc,1 year full time,Leeds,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/electrical-engineering-and-renewable-energy-systems-msc-eng/?i321d8436c12311,renew energi reduc carbon emiss top global environment agenda master programm design address fundament renew energi show solar wind energi sourc work harmoni effici integr practic power systemsyoul studi core power engin topic power convert electr drive control alongsid modul specif renew energi sourc power system,﻿electr engin renew energi system msc eng,univers leed,leed,24594.47
﻿Electronic and Electrical Engineering - MSc (Eng),University of Leeds,School of Electronic and Electrical Engineering,['Full Time'],"Commercial products today combine many technologies – and industry is increasingly interdisciplinary. Our Electronic and Electrical Engineering MSc meets this demand, giving you an interdisciplinary knowledge base in modern electronics including power, communications, control and embedded",September,"UK: £13,500 (Total) International: £31,000 (Total)",MSc,1 year full time,Leeds,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/electronic-and-electrical-engineering-msc-eng/?i321d8436c12310,commerci product today combin mani technolog – industri increasingli interdisciplinari electron electr engin msc meet demand give interdisciplinari knowledg base modern electron includ power commun control embed,﻿electron electr engin msc eng,univers leed,leed,24594.47
﻿Electronics Engineering - MSc,University of Hertfordshire,"School of Physics, Engineering and Computer Science",['Full Time'],"Why choose Herts?Employment Prospects: Our graduates work as Electronics Engineers and Systems Engineers for organisations including MBDA, Centrica, ABB, and Leonardo.Industry-Focused Content: You will explore innovative technologies including 5G and IoT and develop industry-required skills to use Microprocessor, DSP and FPGA technology.Industry Connections: Benefit from our strong electrical engineering employer links with organisations including Imagination Technologies, Samsung, and BAE who support our students with careers fairs and guest lectures.About the courseThis course develops students’ in-depth knowledge and skills of a broad range of Electronics Engineering. It builds strong design skills for the seamless integration of software and hardware for sustainable and smart applications using Microprocessor/DSP/FPGA technology.",See Course,UK Students Full time: £9750 for the 2022/2023 academic year  EU/International Students Full time: £14750 for the 2022/2023 academic year,MSc,18 months full-time,Hatfield,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/electronics-engineering-msc/?i313d64c61775,choos hertsemploy prospect graduat work electron engin system engin organis includ mbda centrica abb leonardoindustryfocus content explor innov technolog includ 5g iot develop industryrequir skill use microprocessor dsp fpga technologyindustri connect benefit strong electr engin employ link organis includ imagin technolog samsung bae support student career fair guest lecturesabout coursethi cours develop student ’ indepth knowledg skill broad rang electron engin build strong design skill seamless integr softwar hardwar sustain smart applic use microprocessordspfpga technolog,﻿electron engin msc,univers hertfordshir,hatfield,11702.21
﻿Embedded Systems Engineering - MSc (Eng),University of Leeds,School of Electronic and Electrical Engineering,['Full Time'],"The huge growth of processing power, now available in small power-efficient packages, has fuelled the digital revolution, which has touched all sectors of the economy. Embedded systems are everywhere – and the demand for specialists in this field is only going to continue to grow.Our Embedded Systems Engineering MSc course centres around practical work in the area of electronics design and applications alongside applications-led modules which will give you a strong digital technology backup.",September,"UK: £13,500 (Total) International: £31,000 (Total)",MSc,1 year full time,Leeds,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/embedded-systems-engineering-msc-eng/?i321d8436c12312,huge growth process power avail small powereffici packag fuell digit revolut touch sector economi embed system everywher – demand specialist field go continu growour embed system engin msc cours centr around practic work area electron design applic alongsid applicationsl modul give strong digit technolog backup,﻿embed system engin msc eng,univers leed,leed,24594.47
﻿FindAMasters | 500 Error : Internal Server Error,,,[],,,,,,,,,,,﻿findamast 500 error intern server error,,,
﻿Emerging Infections and Pandemics MSc,University of Liverpool,Department of Life Sciences,['Full Time'],"The Covid-19 pandemic has highlighted the major challenges of controlling the spread of infectious disease in a highly interconnected world. This has had a massive impact on public health, the economy, social interaction and the way we work. While the pandemic revealed a lack of preparedness in many parts of the world, it was not the first and it will not be the last. Therefore, we need to develop a workforce that is able to respond to future pandemics.INTRODUCTIONYou will be provided with a breadth of interdisciplinary expertise and practical role-play in the epidemiology, immunology, control and management of epidemics and pandemics in a One Health (integrated medical and veterinary) context led by leading experts in their respective fields.",September,,MSc,1 year full time,Liverpool,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/emerging-infections-and-pandemics-msc/?i326d6868c68665,covid19 pandem highlight major challeng control spread infecti diseas highli interconnect world massiv impact public health economi social interact way work pandem reveal lack prepared mani part world first last therefor need develop workforc abl respond futur pandemicsintroductiony provid breadth interdisciplinari expertis practic roleplay epidemiolog immunolog control manag epidem pandem one health integr medic veterinari context led lead expert respect field,﻿emerg infect pandem msc,univers liverpool,liverpool,
﻿Emerging Digital Technologies MSc,University College London,Department of Computer Science,['Full Time'],"Register your interest in graduate study at UCL﻿The Emerging Digital Technologies MSc at UCL merges technology and the management of technology. Students will develop hands-on skills in areas such as data science, blockchain technologies and information management systems, which will prepare them for careers in emerging technology-centric roles in complex business environments.",September,"Full time - £32,100",MSc,1 year full time,London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/emerging-digital-technologies-msc/?i274d1838c70658,regist interest graduat studi ucl﻿th emerg digit technolog msc ucl merg technolog manag technolog student develop handson skill area data scienc blockchain technolog inform manag system prepar career emerg technologycentr role complex busi environ,﻿emerg digit technolog msc,univers colleg london,london,25467.18
﻿Endocrinology - MSc,Learna | Diploma MSc,Diploma MSc Medical Programmes,['Part Time'],"The online Endocrinology MSc provides a progression route for graduates of the Postgraduate Diploma.Course InformationDiploma MSc is a collaborative partner of the University of South Wales and on successful completion of this course, you will receive an Endocrinology MSc.The two year MSc in Endocrinology is available to those who have successfully completed the Endocrinology Postgraduate Diploma (120 credits). This can be from Diploma MSc, the University of South Wales or from another UK university (having completed similar modules).","September, March","£5,100 (1 year) £9,300 (2 years)",MSc,2 years,Cardiff,United Kingdom,Online,https://www.findamasters.com/masters-degrees/course/endocrinology-msc/?i1705d6873c34781,onlin endocrinolog msc provid progress rout graduat postgradu diplomacours informationdiploma msc collabor partner univers south wale success complet cours receiv endocrinolog mscthe two year msc endocrinolog avail success complet endocrinolog postgradu diploma 120 credit diploma msc univers south wale anoth uk univers complet similar modul,﻿endocrinolog msc,learna diploma msc,cardiff,7378.34
﻿Endodontics MSc,University College London,UCL Eastman Dental Institute,"['Full Time', 'Part Time']","Register your interest in graduate study at UCLThis full-time MSc Endodontics will give you the skills to practise endodontics independently at a level between special interest and specialist practitioner. The programme can be studied either full time over one year or part time over two years and has a strong clinical bias.This clinical MSc is the ideal choice for students looking to develop a broad understanding of endodontics, including the basic principles and knowledge and how to apply them clinically. We take a novel approach to building and integrating cognitive, technical and clinical skills in various domains to help set the foundation for developing your expertise. Correct adoption of the processes empowers you to progress towards mastery both during and beyond the programme.",September,"Full time - £35,000 Part time - £17,500",MSc,"1 year full time, 2 years part time",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/endodontics-msc/?i274d3489c19950,regist interest graduat studi uclthi fulltim msc endodont give skill practis endodont independ level special interest specialist practition programm studi either full time one year part time two year strong clinic biasthi clinic msc ideal choic student look develop broad understand endodont includ basic principl knowledg appli clinic take novel approach build integr cognit technic clinic skill variou domain help set foundat develop expertis correct adopt process empow progress toward masteri beyond programm,﻿endodont msc,univers colleg london,london,27767.95
﻿Emergency Practitioner MSc,University of Wolverhampton,The Institute of Health,['Part Time'],"Not running 23/24The MSc Emergency Practitioner is an innovative and exciting course that aims to develop the professional and clinical knowledge and skills important to the Emergency practitioner. The course will support you in developing your ability to find and critically evaluate the evidence base for interventions in practice and identify the implications for your practice. It is designed to enable and empower you to safely and effectively fulfil this dynamic role in practice, facilitating the links between specialist theory and practice and enhancing your critical thinking and decision-making skills.",September,Home - Part-time - £2798 per year,MSc,See course dates on website,Wolverhampton,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/emergency-practitioner-msc/?i373d172c68885,run 2324the msc emerg practition innov excit cours aim develop profession clinic knowledg skill import emerg practition cours support develop abil find critic evalu evid base intervent practic identifi implic practic design enabl empow safe effect fulfil dynam role practic facilit link specialist theori practic enhanc critic think decisionmak skill,﻿emerg practition msc,univers wolverhampton,wolverhampton,2219.85
﻿End of Life Healthcare Ethics MSc,University College Cork,College of Medicine and Health,['Part Time'],Not on offer for,See Course,"The EU fee for this course is €4,130 (Year 1); €4,130 (Year 2).",MSc,2 years part time,Cork,Ireland,On Campus,https://www.findamasters.com/masters-degrees/course/end-of-life-healthcare-ethics-msc/?i271d8009c68553,offer,﻿end life healthcar ethic msc,univers colleg cork,cork,3774.86
﻿Energy and Power Systems with a Year in Industry MSc (Eng),University of Liverpool,Department of Electrical Engineering and Electronics,['Full Time'],"This programme provides you with an in-depth knowledge of electrical power generation, transmission, distribution and networks. We also explore the operating principles, monitoring, optimisation and control of modern power systems in detail.INTRODUCTIONThe world demand for energy, in particular electricity, is increasing significantly and will continue to do so over the next decade and beyond. There are many challenges to be addressed in order to meet this ever-increasing demand, and electrical and electronic engineers are needed to provide key solutions. There are significant opportunities for you to make an impact that will shape the future, and this programme has been carefully designed with this in mind.",September,"UK fees (applies to Channel Islands, Isle of Man and Republic of Ireland) Full-time place, per year = £11,950 Year in industry fee - £2,400  International fees Full-time place, per year - £26,350 Year in industry fee - £5,300","MSc,Other",2 years full time,Liverpool,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/energy-and-power-systems-with-a-year-in-industry-msc-eng/?i326d905c45434,programm provid indepth knowledg electr power gener transmiss distribut network also explor oper principl monitor optimis control modern power system detailintroductionth world demand energi particular electr increas significantli continu next decad beyond mani challeng address order meet everincreas demand electr electron engin need provid key solut signific opportun make impact shape futur programm care design mind,﻿energi power system year industri msc eng,univers liverpool,liverpool,20905.3
﻿Energy for Society,Hanze University of Applied Sciences,Masters courses,['Full Time'],"Introduction Do you want to make a difference in realising energy transition from a societal perspective? As an energy transition professional you will contribute to accelerating the energy transition at a local and regional level. You will help communities, municipalities, governments and companies to establish the necessary energy transition. You are the intermediate that knows how to operate successfully between the various interests of the stakeholders. You also understand the technical, societal, ecological and political issues involved in energy transition and are able to offer scientifically funded solutions. After the master’s you can work for an organisation, a municipality, a province or an NGO, or you can start your own consultancy company.",September,"EU/EEA students €2,314 non-EU/EEA students €8,276 (academic year 2023-2024)",MSc,"1,5 years",Groningen,Netherlands,On Campus,https://www.findamasters.com/masters-degrees/course/energy-for-society/?i1696d6864c50727,introduct want make differ realis energi transit societ perspect energi transit profession contribut acceler energi transit local region level help commun municip govern compani establish necessari energi transit intermedi know oper success variou interest stakehold also understand technic societ ecolog polit issu involv energi transit abl offer scientif fund solut master ’ work organis municip provinc ngo start consult compani,﻿energi societi,hanz univers appli scienc,groningen,7564.35
﻿Energy and Power Systems MSc (Eng),University of Liverpool,Department of Electrical Engineering and Electronics,['Full Time'],"This programme provides you with an in-depth knowledge of electrical power generation, transmission, distribution and networks. We also explore the operating principles, monitoring, optimisation and control of modern power systems in detail.INTRODUCTIONThe world demand for energy, in particular electricity, is increasing significantly and will continue to do so over the next decade and beyond. There are many challenges to be addressed in order to meet this ever-increasing demand, and electrical and electronic engineers are needed to provide key solutions. There are significant opportunities for you to make an impact that will shape the future, and this programme has been carefully designed with this in mind.",September,"UK fees (applies to Channel Islands, Isle of Man and Republic of Ireland) Full-time place, per year - £11,950  International fees Full-time place, per year - £26,350","MSc,Other",1 year full time,Liverpool,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/energy-and-power-systems-msc-eng/?i326d905c22944,programm provid indepth knowledg electr power gener transmiss distribut network also explor oper principl monitor optimis control modern power system detailintroductionth world demand energi particular electr increas significantli continu next decad beyond mani challeng address order meet everincreas demand electr electron engin need provid key solut signific opportun make impact shape futur programm care design mind,﻿energi power system msc eng,univers liverpool,liverpool,20905.3
﻿Energy Systems and Data Analytics (ESDA) MSc,University College London,UCL Energy Institute,"['Full Time', 'Part Time']","Register your interest in graduate study at UCLEnergy Systems and Data Analytics MSc provides an academically leading and industrially relevant study of energy systems through the lens of data analytics. Advanced analytics, fuelled by big data and massive computational power, has the potential to transform how energy systems are designed, operated and maintained. You will gain the skills and knowledge to unlock the transformative potential of big energy data and understand how it can reshape the energy sector.",September,"Full time - £18,000 Part time - £9,000",MSc,"1 year full time, 2 years part time, 5 years flexible",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/energy-systems-and-data-analytics-esda-msc/?i274d6300c51125,regist interest graduat studi uclenergi system data analyt msc provid academ lead industri relev studi energi system len data analyt advanc analyt fuell big data massiv comput power potenti transform energi system design oper maintain gain skill knowledg unlock transform potenti big energi data understand reshap energi sector,﻿energi system data analyt esda msc,univers colleg london,london,14280.66
﻿Energy Management - MSc,ESCP Business School (London Campus),Business and Management Department- London,['Full Time'],"The MSc in Energy Management provides students with a holistic, 360-degree view of the energy business.The specialisation covers renewable and alternative energy, sustainability, electricity markets and oil business, as well as gas and LNG markets, focusing on enabling participants with the essential toolkit to manage real-life projects in the energy-transition era. It provides students with the ability to develop and implement strategies to address major issues in energy regulation and policy, and to understand the energy business environment and its fundamental economic and technological concepts. ",October,"Tuition fees, 2024 intake: £24,700 Application fee: €130 Candidates entering the programme with less than 240 ECTS will also be required to attend an additional online semester with a supplement fee of £2,750.",MSc,9-12 months of full-time study in London & Paris + 9 months of professional development,London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/energy-management-msc/?i80d5471c53112,msc energi manag provid student holist 360degre view energi businessth specialis cover renew altern energi sustain electr market oil busi well ga lng market focus enabl particip essenti toolkit manag reallif project energytransit era provid student abil develop implement strategi address major issu energi regul polici understand energi busi environ fundament econom technolog concept,﻿energi manag msc,escp busi school london campu,london,19596.24
﻿Energy Policy MSc (online),University of Sussex,University of Sussex Online,['Part Time'],"Without a workforce trained to develop policy and systems for the use of renewable energies the future of our planet is uncertain. Taught by one of the world’s leading centres for research in science, technology and innovation policy and management, the University of Sussex’s Masters in Energy Policy is delivered 100% online and designed for those looking to steer the shift toward sustainable energy in the public, private and third sectors. ","January, March","Course fee: £12,660 Cost per module: £1,055  Fees can be paid on a module-by-module basis, or as a single fee at the start of the course.",MSc,2-4 years part-time,Brighton,United Kingdom,Online,https://www.findamasters.com/masters-degrees/course/energy-policy-msc-online/?i356d8280c58897,without workforc train develop polici system use renew energi futur planet uncertain taught one world ’ lead centr research scienc technolog innov polici manag univers sussex ’ master energi polici deliv 100 onlin design look steer shift toward sustain energi public privat third sector,﻿energi polici msc onlin,univers sussex,brighton,10044.06
﻿Engineering and Education MSc,University College London,"IOE, UCL’s Faculty of Education and Society","['Full Time', 'Part Time']","Register your interest in graduate study at UCLThis flexible and unique MSc is designed for engineers, teachers of engineering and engineering policy makers. It aims to develop the skills and knowledge required to lead change, lead teams, enhance the performance of engineers in industry, improve the quality of engineering education in universities, and influence engineering education policy. The programme focuses on how to develop innovative strategies to improve engineering education.The degree will provide you with a mix of theoretical and practical ideas and frameworks to creatively re-design and deliver all aspects of engineering education. A focus on leadership and the development of professional skills is emphasised throughout, with inputs from industry experts, UCL researchers and policy stakeholders.",September,"Full time - £11,800 Part time - £5,900",MSc,"1 year full time, 2 years part time, 5 years flexible",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/engineering-and-education-msc/?i274d6874c55015,regist interest graduat studi uclthi flexibl uniqu msc design engin teacher engin engin polici maker aim develop skill knowledg requir lead chang lead team enhanc perform engin industri improv qualiti engin educ univers influenc engin educ polici programm focus develop innov strategi improv engin educationth degre provid mix theoret practic idea framework creativ redesign deliv aspect engin educ focu leadership develop profession skill emphasis throughout input industri expert ucl research polici stakehold,﻿engin educ msc,univers colleg london,london,9361.77
﻿Engineering Geology - MSc,University of Leeds,School of Earth & Environment,"['Full Time', 'Part Time']","Engineering geologists have a unique understanding of the ground and geological processes, making them crucial to all construction and infrastructure projects. Without their expertise in these processes and the potential hazards, developments risk not being safe — which is why this profession will always be in high demand.Our Engineering Geology MSc provides you with the in-depth knowledge and skills required to embark upon a rewarding career in an industry which could take you across the globe, on a wide range of exciting projects, from sustainable infrastructure design to the assessment of environmental and geological risk.",September,"UK: £13,500 (Total) International: £31,000 (Total)",MSc,"1 year full time, 2 years part time",Leeds,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/engineering-geology-msc/?i321d1015c2085,engin geologist uniqu understand ground geolog process make crucial construct infrastructur project without expertis process potenti hazard develop risk safe — profess alway high demandour engin geolog msc provid indepth knowledg skill requir embark upon reward career industri could take across globe wide rang excit project sustain infrastructur design assess environment geolog risk,﻿engin geolog msc,univers leed,leed,24594.47
﻿Engineering Management,University of Portsmouth,UoP London,['Full Time'],This course is still being set up. For more information please contact the University of Portsmouth.,"September, January",,MSc,"12 months full-time (September intake), 16 months full-time (January intake)",Portsmouth,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/engineering-management/?i343d8925c70529,cours still set inform pleas contact univers portsmouth,﻿engin manag,univers portsmouth,portsmouth,
﻿Engineering Management,University of East London,"School of Architecture, Computing and Engineering",['Full Time'],"OverviewEngineering Management is aimed at an ambitious technical professional who aspires to a senior role involving technical, management and strategic decision-making responsibilities. MSc Engineering Management is designed specifically to allow you to update, extend and deepen your knowledge in engineering and management, to enhance your career opportunities in industry. The MSc course is designed to meet the increasing demand for general engineering professionals with advanced technical skills in engineering management. The course addresses the challenges faced by engineering graduates who move into general management or senior specialist roles. ","September, January","Attendance Home Full time 1/2 years £10,020 Per year. Year 2 Industrial Placement Fee - £3,500  Part time £1,670 Per 30 credit module  International Full time 1/2 years £14,760 Per year. Year 2 Industrial Placement Fee - £3,500",MSc,1 year,London,United Kingdom,Part Time,https://www.findamasters.com/masters-degrees/course/engineering-management/?i298d3331c67179,overviewengin manag aim ambiti technic profession aspir senior role involv technic manag strateg decisionmak respons msc engin manag design specif allow updat extend deepen knowledg engin manag enhanc career opportun industri msc cours design meet increas demand gener engin profession advanc technic skill engin manag cours address challeng face engin graduat move gener manag senior specialist role,﻿engin manag,univers east london,london,11710.14
﻿Engineering for International Development MSc,University College London,"Department of Civil, Environmental & Geomatic Engineering","['Full Time', 'Part Time']","Register your interest in graduate study at UCLThere is an international need for professionals who can engineer sustainable and resilient infrastructure to help alleviate poverty in low to middle-income countries. This programme will create engineering graduates who can work in a global context and with the skills and understanding to address the challenges of poverty worldwide.About this degreeStudents gain understanding of infrastructure design and delivery processes in resource-limited settings, and learn how to mobilise technical expertise to develop solutions with local stakeholders in a global context. The wide range of taught modules also provides opportunities to critically engage with the complexities and ethical dilemmas of working as an engineer internationally.",September,"Full time - £18,000 Part time - £9,000",MSc,"1 year full time, 2 years part time, up to 5 years flexible",London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/engineering-for-international-development-msc/?i274d1826c35277,regist interest graduat studi uclther intern need profession engin sustain resili infrastructur help allevi poverti low middleincom countri programm creat engin graduat work global context skill understand address challeng poverti worldwideabout degreestud gain understand infrastructur design deliveri process resourcelimit set learn mobilis technic expertis develop solut local stakehold global context wide rang taught modul also provid opportun critic engag complex ethic dilemma work engin intern,﻿engin intern develop msc,univers colleg london,london,14280.66
﻿Engineering Management - MSc,"University of the West of England, Bristol","Department of Engineering, Design and Mathematics","['Full Time', 'Part Time']","Engineering and the part it has to play in shaping the future is shifting at an unprecedented rate - with global challenges, technology revolution, fast innovation and a range of related issues demanding ever greater skills, awareness and agility from today's industry and business leaders.MSc Engineering Management offers a unique opportunity for those who are eager to equip themselves with the essential capabilities and industry-relevant skills to excel as a future leader in an increasingly globally connected environment.Exceptional interdisciplinary","September, January",Full time Home Award Fee £9000 Home Module Fee (15 Credit) £750  Part time Home Module Fee (15 Credit) £750 Offshore Module Fee (15 Credit) £1188,MSc,"1 year full-time, 2 years part-time",Bristol,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/engineering-management-msc/?i359d5888c59622,engin part play shape futur shift unpreced rate global challeng technolog revolut fast innov rang relat issu demand ever greater skill awar agil today industri busi leadersmsc engin manag offer uniqu opportun eager equip essenti capabl industryrelev skill excel futur leader increasingli global connect environmentexcept interdisciplinari,﻿engin manag msc,univers west england bristol,bristol,7140.33
﻿Engineering Management MSc,Middlesex University,Faculty of Science and Technology,"['Full Time', 'Part Time']","The career of an engineering project manager is an exciting and challenging one - overseeing complex projects, taking charge of teams and delivering on time and on budget. Yet there's a worldwide shortage of graduates who have the elusive combination of technical knowledge and the management capability that such a demanding role needs. This Masters degree was created to meet that demand.Why study MSc Engineering Management at Middlesex University?This in-depth, technical and practical course is designed specifically for those students who have studied engineering at university level and are looking to develop an advanced mastery of the subject.",October,"UK students Full-time students: £10,500 Part-time students: £70 per credit Part-time students: £35 per dissertation credit  EU/International Full-time students: £15,700 Part-time students: £101 per credit Part-time students: £50 per dissertation credit",MSc,1 year full-time; 2 years part-time,London,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/engineering-management-msc/?i166d5300c30943,career engin project manag excit challeng one overse complex project take charg team deliv time budget yet there worldwid shortag graduat elus combin technic knowledg manag capabl demand role need master degre creat meet demandwhi studi msc engin manag middlesex universitythi indepth technic practic cours design specif student studi engin univers level look develop advanc masteri subject,﻿engin manag msc,middlesex univers,london,12455.91
﻿Engineering Management - MSc,University of Sunderland in London,Postgraduate Courses,['On Campus'],"Build on your technical background while adding business and management skills, including project control and quality optimisation. Develop the combination of technical knowledge and management expertise that are required to successfully deliver multi-million-pound projects. Equip yourself to lead a technical team to deliver on time and on budget.You will build on your technical background while adding business and management skills. These skills include project control, supply chain management, risk management and quality optimisation. You will also develop the ‘soft’ skills of working with others and leading projects, including expertise in negotiation and collaboration, effective communication, handling conflict and politics, and managing change.","August, November","£6,500 if you are from the UK or EU £13,000 if you are from outside the EU  Discounts: £1,000 for University of Sunderland in London alumni. £1,000 prompt payment discount for none-EU students.",MSc,1 year full-time,London,United Kingdom,Full Time,https://www.findamasters.com/masters-degrees/course/engineering-management-msc/?i2186d7557c57720,build technic background ad busi manag skill includ project control qualiti optimis develop combin technic knowledg manag expertis requir success deliv multimillionpound project equip lead technic team deliv time budgety build technic background ad busi manag skill skill includ project control suppli chain manag risk manag qualiti optimis also develop ‘ soft ’ skill work other lead project includ expertis negoti collabor effect commun handl conflict polit manag chang,﻿engin manag msc,univers sunderland london,london,10313.81
﻿Engineering Project Management - MSc (Eng),University of Leeds,School of Civil Engineering,['Full Time'],"Our MSc in Engineering Project Management will help you develop a complete and in-depth understanding of project management tools and techniques. You'll gain the specialist knowledge you need to contribute to and manage projects in any industry and build an extensive set of professional skills sought after in the project management profession.Engineering spans many industries across different sectors, and the career opportunities are vast. However, the success of any engineering project does not only rely on technical skills: it needs project management specialists with competency in areas like strategy and finance to ensure projects meet the brief’s requirements.",September,"UK: £13,750 (Total) International: £31,000 (Total)",MSc,1 year full time,Leeds,United Kingdom,On Campus,https://www.findamasters.com/masters-degrees/course/engineering-project-management-msc-eng/?i321d8434c12300,msc engin project manag help develop complet indepth understand project manag tool techniqu youll gain specialist knowledg need contribut manag project industri build extens set profession skill sought project manag professionengin span mani industri across differ sector career opportun vast howev success engin project reli technic skill need project manag specialist compet area like strategi financ ensur project meet brief ’ requir,﻿engin project manag msc eng,univers leed,leed,24594.47
